Name,Facility ID (CCN),Parent System/Company,PE Firm,Currently PE?,State,Address,City,Zip,County,Date last acquired by PE,Previous Owner Type,Hospital Ownership,Type,Region,Payment Designation,Hospital Overall Rating,Rural?,RUCA,FORHP Rural/Urban,CSBA Rural/Urban,FIPS,Sale-leaseback,HCRIS Acute,HCRIS Beds,POS Certified Beds,POS Total Beds,PSF Beds,Emergency Services,Phone
ENCOMPASS HEALTH REHAB HOSPITAL OF SPRING HILL,103042,Encompass Health,,N,FL,12440 CORTEZ BLVD,BROOKSVILLE,34613,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,12053,,,80,80,80,,,(352) 592-4250
ENCOMPASS HEALTH REHAB HOSPITAL OF SUNRISE,103028,Encompass Health,,N,FL,4399 NOB HILL RD,SUNRISE,33351,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,12011,,,126,126,126,,,(954) 749-0300
ENCOMPASS HEALTH REHAB HOSPITAL OF TINTON FALLS,313035,Encompass Health,,N,NJ,2 CENTRE PLAZA,TINTON FALLS,7724,,,,Proprietary,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,34025,,,60,60,60,,,(732) 460-5320
ENCOMPASS HEALTH REHAB HOSPITAL OF TOLEDO,363043,Encompass Health,,N,OH,4647  MONROE STREET,TOLEDO,43623,,,,Proprietary,Rehabilitation hospital,Midwest ,,,,1,Urban,Metro,39095,,,,24,24,,,(567) 290-3500
ENCOMPASS HEALTH REHAB HOSPITAL OF TOMS RIVER,313029,Encompass Health,,N,NJ,14 HOSPITAL DRIVE,TOMS RIVER,8755,,,,Proprietary,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,34029,,,98,92,92,,,(732) 244-3100
ENCOMPASS HEALTH REHAB HOSPITAL OF TREASURE COAST,103032,Encompass Health,,N,FL,1600 37TH ST,VERO BEACH,32960,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,12061,,,80,80,80,,,(772) 778-2100
ENCOMPASS HEALTH REHAB HOSPITAL OF VINELAND,313036,Encompass Health,,N,NJ,1237 W SHERMAN AVENUE,VINELAND,8360,,,,Proprietary,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,34011,,,41,41,41,,,(856) 696-7100
ENCOMPASS HEALTH REHAB HOSPITAL OF WESTERN MASS,223030,Encompass Health,,N,MA,222 STATE STREET,LUDLOW,1056,,,,Proprietary,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,25013,,,53,53,53,,,(413) 589-7581
ENCOMPASS HEALTH REHABILITAITON HOSPITAL OF RICHAR,673029,Encompass Health,,N,TX,3351 WATERVIEW PARKWAY,RICHARDSON,75080,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48085,,,50,50,50,,,(972) 398-5700
ENCOMPASS HEALTH REHABILITATION HOSP OF NEW ENGLAN,223026,Encompass Health,,N,MA,2 REHABILITATION WAY,WOBURN,1801,,,,Proprietary,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,25017,,,179,179,210,,,(781) 935-5050
ENCOMPASS HEALTH REHABILITATION HOSPITAL,043029,Encompass Health,,N,AR,1201 FLEMING AVE,JONESBORO,72401,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,5031,,,80,80,80,,,(870) 932-0440
ENCOMPASS HEALTH REHABILITATION HOSPITAL FT SMITH,043028,Encompass Health,,N,AR,1401 SOUTH J STREET,FORT SMITH,72901,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,5131,,,65,80,80,,,(479) 785-3300
ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,013032,Encompass Health,,N,AL,801 GOODYEAR AVE,GADSDEN,35903,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,1055,,,44,44,44,,,(256) 439-5000
ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,013029,Encompass Health,,N,AL,107 GOVERNORS DRIVE,HUNTSVILLE,35801,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,1089,,,70,70,70,,,(205) 535-2300
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALBUQU,323027,Encompass Health,,N,NM,7000 JEFFERSON STREET NE,ALBUQUERQUE,87109,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,35001,,,87,87,87,,,(505) 344-9478
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALEXAN,193031,Encompass Health,,N,LA,104 NORTH THIRD STREET,ALEXANDRIA,71301,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,22079,,,47,47,47,,,(318) 449-1370
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALTAMO,103045,Encompass Health,,N,FL,831 S STATE RD 434,ALTAMONTE SPRINGS,32714,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,12117,,,70,50,50,,,(407) 587-8600
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALTOON,393040,Encompass Health,,N,PA,2005 VALLEY VIEW BOULEVARD,ALTOONA,16602,,,,Proprietary,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,42013,GMRE,,80,80,80,,,(814) 944-3535
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF AUSTIN,673054,Encompass Health,,N,TX,330 W BEN WHITE BLVD,AUSTIN,78704,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48453,,,60,60,60,,,(972) 308-8567
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CHATTA,443032,Encompass Health,,N,TN,2412 MCCALLIE AVENUE,CHATTANOOGA,37404,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,47065,,,50,69,69,,,(423) 698-0221
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CINCIN,363034,Encompass Health,,N,OH,151 WEST GALBRAITH ROAD,CINCINNATI,45216,,,,Proprietary,Rehabilitation hospital,Midwest ,,,,1,Urban,Metro,39061,,,100,60,60,,,(513) 418-5600
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CITY,453042,Encompass Health,,N,TX,6701 OAKMONT BOULEVARD,FORT WORTH,76132,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48439,,,62,77,77,,,(817) 370-4700
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CO SPG,063030,Encompass Health,,N,CO,325 PARKSIDE DR,COLORADO SPRINGS,80910,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,8041,,,62,64,64,,,(719) 630-8000
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF COLA,423025,Encompass Health,,N,SC,2935 COLONIAL DRIVE,COLUMBIA,29203,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,45079,,,96,96,96,,,(803) 254-7777
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CONCOR,303027,Encompass Health,,N,NH,254 PLEASANT STREET,CONCORD,3301,,,,Proprietary,Rehabilitation hospital,Northeast ,,,1,4,Rural,Micro,33013,,,50,50,50,,,(603) 226-9800
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DALLAS,673043,Encompass Health,,N,TX,7930 NORTHAVEN ROAD,DALLAS,75230,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48113,,,60,40,40,,,(214) 706-8200
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,013030,Encompass Health,,N,AL,1736 EAST MAIN STREET,DOTHAN,36301,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,1069,,,51,51,51,,,(334) 712-6333
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF EAST V,033037,Encompass Health,,N,AZ,5652 EAST BASELINE ROAD,MESA,85206,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,4013,GMRE,,70,60,60,,,(480) 567-0350
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF FLORE,423026,Encompass Health,,N,SC,900 EAST CHEVES ST,FLORENCE,29506,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,45041,,,88,88,88,,,(843) 679-9000
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF FRANKL,443035,Encompass Health,,N,TN,1000 PHYSICIANS WAY,FRANKLIN,37067,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,47187,,,40,40,40,,,(615) 721-4000
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF HENDER,293032,Encompass Health,,N,NV,10301 JEFFREYS ST,HENDERSON,89052,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,32003,,,90,90,90,,,(702) 939-9400
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF KATY,673071,Encompass Health,,N,TX,23331 GRAND RESERVE DRIVE,KATY,77494,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48201,,,40,40,40,,,(281) 505-3500
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LAKEVI,183028,Encompass Health,,N,KY,134 HEARTLAND DRIVE,ELIZABETHTOWN,42701,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,21093,,,40,40,40,,,(270) 769-3100
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LARGO,103037,Encompass Health,,N,FL,901 CLEARWATER LARGO RD N,LARGO,33770,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,12103,,,70,70,70,,,(727) 586-2999
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LV,293026,Encompass Health,,N,NV,1250 S VALLEY VIEW BLVD,LAS VEGAS,89102,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,32003,,,79,79,79,,,(702) 877-8898
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MECHAN,393031,Encompass Health,,N,PA,175 LANCASTER BOULEVARD,MECHANICSBURG,17055,,,,Proprietary,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,42041,GMRE,,75,75,75,,,(717) 691-3720
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIAMI,103038,Encompass Health,,N,FL,20601 OLD CUTLER RD,MIAMI,33189,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,12086,,,60,60,60,,,(305) 251-3800
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MODEST,053040,Encompass Health,,N,CA,1303 MABLE AVENUE,MODESTO,95355,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,6099,,,50,50,50,,,(209) 857-3400
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MURRIE,053042,Encompass Health,,N,CA,35470 WHITEWOOD RD,MURRIETA,92563,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,6065,,,50,50,50,,,(951) 246-6500
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NITTAN,393039,Encompass Health,,N,PA,550 WEST COLLEGE AVENUE,PLEASANT GAP,16823,,,,Proprietary,Rehabilitation hospital,Northeast ,,,,2,Urban,Metro,42027,,,73,73,73,,,(814) 359-3421
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHE,183027,Encompass Health,,N,KY,201 MEDICAL VILLAGE DRIVE,EDGEWOOD,41017,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,21117,,,51,51,51,,,(859) 341-2044
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHW,033029,Encompass Health,,N,AZ,1921 WEST HOSPITAL DRIVE,TUCSON,85704,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,4019,,,60,60,60,,,(520) 742-2800
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA,103040,Encompass Health,,N,FL,1847 FLORIDA AVE,PANAMA CITY,32405,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,12005,,,75,75,75,,,(850) 914-8600
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PEARLA,673066,Encompass Health,,N,TX,2121 BUSINESS CENTER DR,PEARLAND,77584,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48039,,,60,40,40,,,(346) 907-3000
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PLANO,453047,Encompass Health,,N,TX,2800 W 15TH ST,PLANO,75075,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48085,,,83,83,83,,,(972) 612-9000
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF READIN,393026,Encompass Health,,N,PA,1623 MORGANTOWN ROAD,READING,19607,,,,Proprietary,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,42011,,,60,60,60,,,(610) 796-6000
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ROCK H,423028,Encompass Health,,N,SC,1795 FRANK GASTON BLVD,ROCK HILL,29732,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,45091,,,50,50,50,,,(803) 326-3500
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SAN AN,453031,Encompass Health,,N,TX,9119 CINNAMON HILL,SAN ANTONIO,78240,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48029,,,108,108,108,,,(210) 691-0737
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,013031,Encompass Health,,N,AL,900 OAK MOUNTAIN COMMONS LANE,PELHAM,35124,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,1117,,,34,34,34,,,(205) 216-7621
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUGAR,673042,Encompass Health,,N,TX,1325 HWY 6,SUGAR LAND,77478,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48157,,,50,50,50,,,(281) 276-7599
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAH,103033,Encompass Health,,N,FL,1675 RIGGINS RD,TALLAHASSEE,32308,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,12073,,,76,76,76,,,(850) 656-4800
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF THE MI,673044,Encompass Health,,N,TX,2304 HIGHWAY 121,BEDFORD,76021,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48439,,,60,60,60,,,(817) 684-2000
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,053034,Encompass Health,,N,CA,14851 YORBA STREET,TUSTIN,92780,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,6059,,,48,117,117,,,(714) 832-9200
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF UTAH,463025,Encompass Health,,N,UT,8074 SOUTH 1300 EAST,SANDY,84094,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,49035,,,84,84,84,,,(801) 561-3400
"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF YORK,",393037,Encompass Health,,N,PA,1850 NORMANDIE DRIVE,YORK,17404,,,,Proprietary,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,42133,,,90,90,90,,,(717) 767-6941
ENCOMPASS HEALTH REHABILITATION HOSPITAL THE VINTA,673052,Encompass Health,,N,TX,20180 CHASEWOOD PARK DRIVE,HOUSTON,77070,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48201,,,60,60,60,,,(972) 308-8567
"ENCOMPASS HEALTH REHABILITATION HOSPITAL, PARTNER",253027,Encompass Health,,N,MS,"4500 13TH STREET, SUITE 900",GULFPORT,39501,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,28047,,,43,33,33,,,(228) 822-6965
ENCOMPASS HEALTH REHABILITATION INSTITUTE OF TUCSO,033028,Encompass Health,,N,AZ,2650 NORTH WYATT DRIVE,TUCSON,85712,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,4019,,,80,80,80,,,(520) 325-1300
ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS,053031,Encompass Health,,N,CA,5001 COMMERCE DRIVE,BAKERSFIELD,93309,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,6029,,,86,86,86,,,(661) 323-5500
ENCOMPASS HEALTH REHABILITIATION HOSPITAL OF MEMPH,443029,Encompass Health,,N,TN,1282 UNION AVENUE,MEMPHIS,38104,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,47157,,,80,80,80,,,(901) 722-2000
ENCOMPASS HEALTH VALLEY OF THE SUN REHAB HOSPITAL,033032,Encompass Health,,N,AZ,13460 NORTH 67TH AVENUE,GLENDALE,85304,,,,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,4013,,,75,75,75,,,(623) 878-8800
ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,013028,Encompass Health,,N,AL,4465 NARROW LANE RD,MONTGOMERY,36116,,,,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,1101,,,70,70,70,,,(334) 284-7821
ENDLESS MOUNTAINS HEALTH SYSTEMS,391306,,,N,PA,100 HOSPITAL DRIVE,MONTROSE,18801,SUSQUEHANNA,,,Voluntary non-profit - Private,Critical Access Hospitals,Northeast ,CAH,2,1,10,Rural,Neither,42115,,25,,25,25,,Yes,(570) 278-3801
ENGLEWOOD COMMUNITY HOSPITAL,100267,HCA Healthcare,,N,FL,700 MEDICAL BLVD,ENGLEWOOD,34223,SARASOTA,,,Proprietary,Acute Care Hospitals,South ,PPS,4,,1,Urban,Metro,12115,,100,,100,100,95,Yes,(941) 475-6571
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,310045,,,N,NJ,350 ENGLE ST,ENGLEWOOD,7631,BERGEN,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,4,,1,Urban,Metro,34003,,284,,531,531,269,Yes,(201) 894-3000
ENLOE MEDICAL CENTER,050039,,,N,CA,1531 ESPLANADE,CHICO,95926,BUTTE,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,3,,1,Urban,Metro,6007,,298,,298,298,291,Yes,(530) 332-7300
EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,181315,,,N,KY,110 METKER TRAIL,STANFORD,40484,LINCOLN,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,Not Available,1,5,Rural,Micro,21137,,25,,25,25,,Yes,(606) 365-4788
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,180048,,,N,KY,217 SOUTH THIRD STREET,DANVILLE,40422,BOYLE,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,2,1,4,Rural,Micro,21021,,143,,197,197,162,Yes,(859) 239-2409
ERIE COUNTY MEDICAL CENTER,330219,,,N,NY,462 GRIDER STREET,BUFFALO,14215,ERIE,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,4,,1,Urban,Metro,36029,,385,,526,526,338,Yes,(716) 898-3936
"ERLANGER BEHAVIORAL HOSPITAL, LLC",444026,Acadia Healthcare,,N,TN,804 NORTH HOLTZCLAW AVENUE,CHATTANOOGA,37404,HAMILTON,,,Proprietary,Psychiatric,South ,,Not Available,,1,Urban,Metro,47065,,,88,88,88,,No,(877) 249-2737
ERLANGER BLEDSOE HOSPITAL,441306,,,N,TN,71 WHEELERTOWN AVENUE,PIKEVILLE,37367,BLEDSOE,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,Not Available,1,10,Rural,Neither,47007,,25,,25,31,,Yes,(423) 447-2112
ERLANGER MEDICAL CENTER,440104,,,N,TN,975 E 3RD ST,CHATTANOOGA,37403,HAMILTON,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,PPS,1,,1,Urban,Metro,47065,,688,,848,848,654,Yes,(423) 778-7000
ERLANGER MURPHY MEDICAL CENTER,341328,,,N,NC,3990 EAST US HIGHWAY 64 ALT,MURPHY,28906,CHEROKEE,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,3,1,10,Rural,Neither,37039,,25,,50,50,,Yes,(828) 837-8161
ESKENAZI HEALTH,150024,,,N,IN,720 ESKENAZI AVENUE,INDIANAPOLIS,46202,MARION,,,Government - Local,Acute Care Hospitals,Midwest ,PPS,3,,1,Urban,Metro,18097,,314,,343,343,298,Yes,(317) 880-4818
ESSENTIA HEALTH ADA,241313,,,N,MN,201 9TH STREET WEST,ADA,56510,NORMAN,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,27107,,14,,14,14,,Yes,(218) 784-5000
ESSENTIA HEALTH DULUTH,240019,,,N,MN,502 EAST SECOND STREET,DULUTH,55805,ST. LOUIS,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,4,,1,Urban,Metro,27137,,114,,121,165,102,No,(218) 786-2652
ESSENTIA HEALTH FARGO,350070,,,N,ND,3000 32ND AVE SOUTH,FARGO,58104,CASS,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,4,,1,Urban,Metro,38017,,149,,145,145,129,Yes,(701) 364-8000
ESSENTIA HEALTH FOSSTON,241357,,,N,MN,900 HILLIGOSS BOULEVARD SE,FOSSTON,56542,POLK,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Metro,27119,,25,,50,50,,Yes,(218) 435-1133
ESSENTIA HEALTH HOLY TRINITY HOSPITAL,241321,,,N,MN,"115  SECOND STREET WEST, BOX 157",GRACEVILLE,56240,BIG STONE,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,27011,,15,,15,15,,Yes,(320) 748-8200
ESSENTIA HEALTH MOOSE LAKE,241350,,,N,MN,4572 COUNTY ROAD 61,MOOSE LAKE,55767,CARLTON,,,Government - Hospital District or Authority,Critical Access Hospitals,Midwest ,CAH,Not Available,1,7,Rural,Metro,27017,,25,,25,25,,Yes,(218) 485-4481
ESSENTIA HEALTH NORTHERN PINES MEDICAL CENTER,241340,,,N,MN,5211 HIGHWAY 110,AURORA,55705,ST. LOUIS,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,5,Rural,Metro,27137,,16,,16,16,,Yes,(218) 229-4222
ESSENTIA HEALTH SANDSTONE,241309,,,N,MN,705 LUNDORFF DRIVE SOUTH,SANDSTONE,55072,PINE,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,27115,,9,,25,35,,Yes,(320) 245-5605
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,240075,,,N,MN,523 NORTH 3RD STREET,BRAINERD,56401,CROW WING,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,SCH/RRC,4,1,4,Rural,Micro,27035,,127,,162,162,123,Yes,(218) 829-2861
ESSENTIA HEALTH ST MARY'S HOSPITAL - SUPERIOR,521329,,,N,WI,3500 TOWER AVE,SUPERIOR,54880,DOUGLAS,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,1,Urban,Metro,55031,,16,,15,15,,Yes,(715) 817-7000
ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,240002,,,N,MN,407 EAST THIRD STREET,DULUTH,55805,ST. LOUIS,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,5,1,1,Urban,Metro,27137,,329,,380,380,296,Yes,(218) 786-4000
ESSENTIA HEALTH ST MARYS - DETROIT LAKES,240101,,,N,MN,1027 WASHINGTON AVE,DETROIT LAKES,56501,BECKER,,,Voluntary non-profit - Church,Acute Care Hospitals,Midwest ,SCH,4,1,7,Rural,Neither,27005,,36,,87,87,34,No,(218) 847-0888
ESSENTIA HEALTH VIRGINIA,240084,,,N,MN,901 9TH STREET NORTH,VIRGINIA,55792,ST. LOUIS,,,Government - Local,Acute Care Hospitals,Midwest ,PPS,2,1,4,Rural,Metro,27137,,47,,83,83,45,No,(218) 741-3340
ESSEX COUNTY HOSPITAL CENTER,314020,,,N,NJ,204 GROVE AVENUE,CEDAR GROVE,7009,ESSEX,,,Government - Local,Psychiatric,Northeast ,,Not Available,,1,Urban,Metro,34013,,,180,180,180,,No,(973) 571-2801
ESTES PARK MEDICAL CENTER,061312,,,N,CO,555 PROSPECT AVE,ESTES PARK,80517,LARIMER,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,1,7,Rural,Metro,8069,,25,,23,23,,Yes,(970) 577-4470
EUCLID HOSPITAL,360082,,,N,OH,18901 LAKE SHORE BOULEVARD,EUCLID,44119,CUYAHOGA,,,Voluntary non-profit - Other,Acute Care Hospitals,Midwest ,PPS,4,,1,Urban,Metro,39035,,110,,301,301,95,No,(216) 531-9000
EUREKA COMMUNITY HEALTH SERVICES - CAH,431308,,,N,SD,200 J AVE POST OFFICE BOX 517,EUREKA,57437,MC PHERSON,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,PPS,Not Available,1,10,Rural,Neither,46089,,4,,4,4,9,Yes,(605) 284-2661
EUREKA SPRINGS HOSPITAL COMMISSION,041304,,,N,AR,24 NORRIS STREET,EUREKA SPRINGS,72632,CARROLL,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,Not Available,1,10,Rural,Neither,5015,,22,,15,15,,Yes,(479) 253-7400
EVANGELICAL COMMUNITY HOSPITAL,390013,,,N,PA,ONE HOSPITAL DRIVE,LEWISBURG,17837,UNION,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,4,1,4,Rural,Micro,42119,,122,,120,132,117,Yes,(570) 522-2200
Evans ACH (FT Carson),06003F,,,N,CO,Fort Carson MEDDAC 1650 Cochrane Circle,Fort Carson,80913,EL PASO,,,Department of Defense,Acute Care - Department of Defense,West ,,Not Available,,,,,,,,,,,,Yes,
EVANS MEMORIAL HOSPITAL,110142,,,N,GA,200 N RIVER STREET,CLAXTON,30417,EVANS,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,PPS,4,1,7,Rural,Neither,13109,,39,,49,49,48,Yes,(912) 739-5105
EVANSVILLE STATE HOSPITAL,154056,,,N,IN,3400 LINCOLN AVENUE,EVANSVILLE,47714,VANDERBURGH,,,Government - State,Psychiatric,Midwest ,,Not Available,,1,Urban,Metro,18163,,,168,168,168,,No,(812) 469-6800
EVERGREEN MEDICAL CENTER,010148,Gillard Health Services,,N,AL,101 CRESTVIEW AVENUE,EVERGREEN,36401,CONECUH,,,Proprietary,Acute Care Hospitals,South ,MDH,2,1,7,Rural,Neither,1035,,44,,44,44,42,Yes,(251) 578-2480
EVERGREENHEALTH MEDICAL CENTER,500124,,,N,WA,12040 NE 128TH STREET,KIRKLAND,98034,KING,,,Government - Hospital District or Authority,Acute Care Hospitals,West ,PPS,5,,1,Urban,Metro,53033,,304,,227,318,296,Yes,(425) 899-1000
EVERGREENHEALTH MONROE,500084,,,N,WA,14701 179TH AVE SE,MONROE,98272,SNOHOMISH,,,Government - Hospital District or Authority,Acute Care Hospitals,West ,PPS,2,,1,Urban,Metro,53061,,27,,72,72,25,Yes,(360) 794-7497
EXCELA HEALTH FRICK HOSPITAL,390217,,,N,PA,508 SOUTH CHURCH STREET,MOUNT PLEASANT,15666,WESTMORELAND,,,Voluntary non-profit - Other,Acute Care Hospitals,Northeast ,PPS,4,,1,Urban,Metro,42129,,33,,148,210,29,Yes,(724) 547-1500
EXCELA HEALTH LATROBE HOSPITAL,390219,,,N,PA,ONE MELLON WAY,LATROBE,15650,WESTMORELAND,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,3,,2,Urban,Metro,42129,,115,,157,188,106,Yes,(724) 537-1000
